OSS,,Unnamed: 0,Unnamed: 0.1.1,URL,average_rating,description,last_update,num_ratings,weekly_downloads,Category,last_update_days_ago,last_update_hours_ago,last_update_date,date_registered,days_since_release
KAAISv3,11858,11858,608,/projects/kaais/?source=directory,5,Kali Applications Automatic Installation Script (For Kali Linux Only),11/22/14,4,220,System Administration,692,16608,11/22/14,8/18/13,1153
HTTP Test Tool,11859,11859,609,/projects/htt/?source=directory,5,"httest is a script based tool for testing and benchmarking web applications, web servers, proxy servers and web browsers. httest can emulate clients and servers in the same test script, very useful for testing proxys.",9/23/16,6,189,System Administration,21,504,9/23/16,7/23/07,3371
Core13,11860,11860,610,/projects/ard-core13/?source=directory,5,Arduino core for Attiny13,8/1/15,3,247,System Administration,440,10560,8/1/15,2/1/12,1717
NethServer,11861,11861,611,/projects/nethserver/?source=directory,0,Linux for for small offices and medium enterprises,9/2/16,0,863,System Administration,42,1008,9/2/16,9/10/14,765
Tail for Windows,11862,11862,612,/projects/wintail/?source=directory,4,Windows visual tail for log and text files,1/2/16,4,361,System Administration,286,6864,1/2/16,7/27/14,810
PNG and MNG tools,11863,11863,613,/projects/pmt/?source=directory,0,pngcrush and other tools for manipulating PNG (Portable Network Graphics) and MNG (Multiple-image Network Graphics) files.,6 days ago,0,857,System Administration,6,128,10/8/16,1/20/00,6112
WinDD - Disk Dump for Windows,11864,11864,614,/projects/windd/?source=directory,2.8,"WinDD - Disk Dump for Windows!   Windows XP version of Unix 'dd' command.   Safe, effort-free backup for FAT, FAT32, NTFS, ext2, ext3 partitions.",4/8/13,12,582,System Administration,1285,30840,4/8/13,1/9/06,3931
RapidCRC,11865,11865,615,/projects/rapidcrc/?source=directory,5,RapidCRC is a tool for windows for checking and creating CRC32 and MD5 checksums (.sfv/.md5 files). Goal is to use the fastest available (assembly) implementations for this task. Specialty: direct support for CRC32 checksums stored in filenames.,3/7/13,5,197,System Administration,1317,31608,3/7/13,10/7/04,4390
vpnautoconnect,11866,11866,616,/projects/vpnautoconnect/?source=directory,5,"vpnautoconnect is a daemon that allow you to reconnect automatically (at startup too) a vpn create with network manager.It can reconnect very quickly and monitor the bandwith, It works with pptp and openvpn connection.",4/24/13,9,166,System Administration,1269,30456,4/24/13,5/13/10,2346
Udis86 Disassembler for x86 and x86-64,11867,11867,617,/projects/udis86/?source=directory,4.6,Udis86 is an easy-to-use minimalistic disassembler library for the x86 and x86-64 instruction set architectures. The primary intent of the design and development of udis86 is to aid software development projects that entail binary code analysis.,9/2/13,9,204,System Administration,1138,27312,9/2/13,12/1/03,4701
NagiosQL - Nagios configuration tool,11868,11868,618,/projects/nagiosql/?source=directory,5,"NagiosQL is a professional, web based configuration tool for Nagios 2.x/3.x and other Nagios based monitoring tools. It is designed for large enterprise requirements as well as small environments. Any Nagios functionalities are supported.",4/25/13,7,176,System Administration,1268,30432,4/25/13,3/19/05,4227
Linux layer 7 packet classifier,11869,11869,619,/projects/l7-filter/?source=directory,4.6,l7-filter classifies packets based on patterns in application layer data. This allows correct classification of P2P traffic that uses unpredictable ports as well as standard protocols running on non-standard ports.,6/5/13,11,186,System Administration,1227,29448,6/5/13,4/30/03,4916
justbrowsing,11870,11870,620,/projects/justbrowsing/?source=directory,3,Just Browsing - when all you need is a web browser.,2/20/15,1,464,System Administration,602,14448,2/20/15,2/19/13,1333
Little Registry Cleaner,11871,11871,621,/projects/littlecleaner/?source=directory,0,Little Registry Cleaner is an open source program designed for Microsoft's Windows Registry. Its purpose is to remove obsolete or unwanted items that build up in the registry over time in order to improve the stability & performance of your computer,6/21/16,0,832,System Administration,115,2760,6/21/16,4/7/08,3112
Encode Explorer,11872,11872,622,/projects/encode-explorer/?source=directory,5,"Encode Explorer is an easy-to-use php script to use as an index file. It shows files in the server and lets you browse through folders, upload files etc. It is kept small and neat so that the source can be used for learning.",7/31/15,7,173,System Administration,441,10584,7/31/15,7/17/06,3742
libusbx,11873,11873,623,/projects/libusbx/?source=directory,5,libusbx is OBSOLETE - use http://libusb.info,1/25/14,3,235,System Administration,993,23832,1/25/14,2/13/12,1705
FlowViewer,11874,11874,624,/projects/flowviewer/?source=directory,5,FlowViewer is a web-based netflow data analysis tool.,4/6/15,4,207,System Administration,557,13368,4/6/15,6/4/12,1593
mcrcon,11875,11875,625,/projects/mcrcon/?source=directory,4.2,Console based rcon client for minecraft servers.,1/19/14,5,280,System Administration,999,23976,1/19/14,4/19/12,1639
QNAP NAS GPL Source,11876,11876,626,/projects/qosgpl/?source=directory,5,QNAP GPL Source,2/25/16,3,231,System Administration,232,5568,2/25/16,4/12/12,1646
PgWinSuite,11877,11877,627,/projects/pgwinsuite/?source=directory,5,"Supporting applications for John Haller's PortableApps.com, including some open source tools set up in PAF installer format.",4/8/13,11,151,System Administration,1285,30840,4/8/13,1/17/08,3193
FreeRecover,11878,11878,628,/projects/freerecover/?source=directory,4.5,"FreeRecover is a free file recovery program for NTFS drives.  It allows you to search though and preview deleted files to find lost data.  It also estimates the integrity of the deleted files, as well as retrieves their original file paths.",4/15/13,2,284,System Administration,1278,30672,4/15/13,3/14/11,2041
iTALC - OpenSource classroom management,11879,11879,629,/projects/italc/?source=directory,4.8,iTALC is a free classroom management software which enables teachers to view and control computers in their labs and interact with students. It supports Linux and Windows XP (Vista/7 soon) and it even can be used in mixed environments transparently.,9/29/16,72,131,System Administration,15,360,9/29/16,2/26/05,4248
IPplan IP address management system,11880,11880,630,/projects/iptrack/?source=directory,4.8,"IPplan is a web based, multilingual, IP address management, DNS and tracking tool based on php 4, simplifying the administration of your IP address space. IPplan can handle a single network or cater for multiple networks with overlapping address space.",5/9/13,19,151,System Administration,1254,30096,5/9/13,7/25/01,5560
IP Monitor,11881,11881,631,/projects/ipmonitor/?source=directory,4,IP Monitor notifies you when your public IP address changes,5/19/16,12,198,System Administration,148,3552,5/19/16,8/27/07,3336
Dynagen: Dynamips / Pemu Front-End,11882,11882,632,/projects/dyna-gen/?source=directory,4.9,Dynagen is a utility for use with the dynamips Cisco router simulator. It allows you to quickly provision and manage virtual networks using an INI like configuration file. ,3/2/14,37,134,System Administration,957,22968,3/2/14,2/20/06,3889
netool toolkit 4.6,11883,11883,633,/projects/netoolsh/?source=directory,5,MitM pentesting opensource toolkit ,12/6/15,4,198,System Administration,313,7512,12/6/15,10/19/12,1456
Syllable Desktop operating system,11884,11884,634,/projects/syllable/?source=directory,4.7,"Syllable Desktop is a complete operating system that is easy to use, powerful, lightweight and extraordinarily fast and responsive. It has its own kernel, filesystem, GUI and applications. Syllable Server is a matching small and efficient Linux server.",5/2/13,13,164,System Administration,1261,30264,5/2/13,6/12/02,5238
Quanta+ Web Development Environment,11885,11885,635,/projects/quanta/?source=directory,5,Quanta+ is a web development environment for HTML and associate languages. We are working to make it as full featured as any web tool available and a first choice for professional and recreational Linux web develoment.,4/8/13,4,197,System Administration,1285,30840,4/8/13,3/29/00,6043
Open Source Android Forensics Toolkit,11886,11886,636,/projects/osaftoolkit/?source=directory,5,OSAF-TK your one stop shop for Android malware analysis and forensics.,4/2/12,7,162,System Administration,1656,39744,4/2/12,2/21/12,1697
Media Sniffer,11887,11887,637,/projects/mediasniffer/?source=directory,4.2,"When you are downloading media on an iTunes or watching online videos on a web browser etc., this tool can often sniff out the download links of these media. You may use this tool for legal purposes only.",2/25/15,5,267,System Administration,597,14328,2/25/15,3/20/10,2400
[Development moved to Github] Npackd,11888,11888,638,/projects/npackd/?source=directory,4.2,"https://npackd.appspot.com Npackd (pronounced ""unpacked"") is an application store/package manager/marketplace for applications for Windows.",6/12/16,5,267,System Administration,124,2976,6/12/16,6/16/11,1947
"Render Farm Manager, CG-Tools&CG-RUles.",11889,11889,639,/projects/cgru/?source=directory,5,"CGRU is an open source CG tools pack, includes Afanasy render farm manager.",9/27/16,15,137,System Administration,17,408,9/27/16,9/29/06,3668
HomeGenie,11890,11890,640,/projects/homegenie/?source=directory,4.9,"Open Source Home Automation Server in a ""Internet Of Things"" world",6/22/16,10,146,System Administration,114,2736,6/22/16,9/16/12,1489
phpMyBackupPro,11891,11891,641,/projects/phpmybackup/?source=directory,4.6,phpMyBackupPro is the MySQL backup tool - especially without ssh!,5/30/15,22,151,System Administration,503,12072,5/30/15,3/11/03,4966
DarwiinRemote,11892,11892,642,/projects/darwiin-remote/?source=directory,4.4,"DarwiinRemote is a tiny program & library which reads data from and sends data to Nintendo Wii Remote (Wiimote), nunchuk, & classic controller.",5/23/13,18,160,System Administration,1240,29760,5/23/13,12/6/06,3600
ThinVNC - HTML5 Remote Desktop,11893,11893,643,/projects/thinvnc/?source=directory,4.8,ThinVNC is a pure HTML5 & AJAX Remote Desktop implementation. ThinVNC works on any HTML5-compliant web browser. Users can access a remote PC from any computer or mobile OS; no additional plugin or installation will be required on the client side. ,5/2/13,17,147,System Administration,1261,30264,5/2/13,5/4/10,2355
Socks Server 5,11894,11894,644,/projects/ss5/?source=directory,3.7,"SS5 is a socks server for Linux, Solaris and FreeBSD environment, that implements the SOCKS v4 and v5 protocol.",4/30/13,3,449,System Administration,1263,30312,4/30/13,11/22/05,3979
PHP LDAP class for Active Directory,11895,11895,645,/projects/adldap/?source=directory,5,A class for PHP to talk to Active Directory through LDAP.,8/23/13,11,141,System Administration,1148,27552,8/23/13,3/9/04,4602
RebeccaBlackOS,11896,11896,646,/projects/rebeccablackos/?source=directory,4.1,Fan Made RebeccaBlackOS. With Wayland.,2 days ago,14,198,System Administration,2,32,10/12/16,1/4/12,1745
Kali Linux Polish Edition,11897,11897,647,/projects/kali-linux/?source=directory,5,Polish version of Kali LINUX,1/20/14,1,416,System Administration,998,23952,1/20/14,3/24/13,1300
WinRun4J,11898,11898,648,/projects/winrun4j/?source=directory,5,WinRun4J is a Windows native launcher for your Java application. The goal is to provide a more professional deployment mechanism for Java apps on Windows.,5/28/13,10,142,System Administration,1235,29640,5/28/13,5/7/07,3448
LCDproc,11899,11899,649,/projects/lcdproc/?source=directory,5,"LCDproc controls various LCD and VFD devices in a standardized way, and ships with a client to display various system statistics. Supports multiple platforms (Linux, *BSD, Solaris). Client/server model allows multiple clients to use one display.",6/13/15,4,186,System Administration,489,11736,6/13/15,11/8/99,6185
nagrestconf,11900,11900,650,/projects/nagrestconf/?source=directory,5,REST interface and configuration GUI for Nagios,9/26/16,1,411,System Administration,18,432,9/26/16,7/9/12,1558
JobScheduler,11901,11901,651,/projects/jobscheduler/?source=directory,4.2,JobScheduler workload automation to execute jobs and job chains,7/8/16,16,181,System Administration,98,2352,7/8/16,8/4/05,4089
Supercopier,11902,11902,652,/projects/supercopier/?source=directory,4.1,"SuperCopier replaces windows explorer file copy and adds many features, transfer resuming, copy speed control, copy speed computation, better copy progress display, copy list editable while copying, error log, copy list saving/loading,...",5/24/15,41,161,System Administration,509,12216,5/24/15,6/30/06,3759
Linux on the Nintendo GameCube and Wii,11903,11903,653,/projects/gc-linux/?source=directory,4.7,"A port of the Linux operating system kernel and assorted GNU userspace to the GameCube and Wii gaming consoles from Nintendo. Please, see http://www.gc-linux.org for additional information. ",12/5/12,6,160,System Administration,1409,33816,12/5/12,1/2/04,4669
Open Source Tripwire,11904,11904,654,/projects/tripwire/?source=directory,4.8,"""Open Source Tripwire software is a security and data integrity tool useful for monitoring and alerting on specific file change(s) on a range of systems. The project is based on code originally contributed by Tripwire, Inc. in 2000.""",8/5/13,24,131,System Administration,1166,27984,8/5/13,2/28/00,6073
GPING,11905,11905,655,/projects/gping/?source=directory,4,GPING (Graphical Ping) is a powerful utility that pings and graphs multiple hosts simultaneously over a user-defined polling interval and generates detailed graphs. It comes with plethora of options for novice as well as advanced network engineers.,4/30/13,4,304,System Administration,1263,30312,4/30/13,7/21/11,1912
G4L,11906,11906,656,/projects/g4l/?source=directory,0,G4L 0.52 released 9/20/16 Disk imaging,9/20/16,0,720,System Administration,24,576,9/20/16,9/21/04,4406
CurlFtpFS,11907,11907,657,/projects/curlftpfs/?source=directory,4.6,CurlFtpFS is a filesystem for acessing ftp hosts based on FUSE and libcurl. Automatically reconnects if the server times out.,5/2/13,11,159,System Administration,1261,30264,5/2/13,2/21/06,3888
Syslog for windows,11908,11908,658,/projects/syslog-win32/?source=directory,5,Syslog daemon and client for windows.,12/19/14,3,204,System Administration,665,15960,12/19/14,9/12/05,4050
Blazegraph (powered by bigdata),11909,11909,659,/projects/bigdata/?source=directory,5,"Fast, scalable, robust graph database platform",8/29/16,9,139,System Administration,46,1104,8/29/16,3/21/07,3495
collectl,11910,11910,660,/projects/collectl/?source=directory,5,"Collectl is a light-weight performance monitoring tool capable of reporting interactively as well as logging to disk. It reports statistics on cpu, disk, infiniband, lustre, memory, network, nfs, process, quadrics, slabs and more in easy to read format.",3 days ago,7,148,System Administration,3,56,10/11/16,5/17/07,3438
Mozilla GPO plugin,11911,11911,661,/projects/mozillagpo/?source=directory,5,Firefox and Thunderbird addon to manage settings using AD Group Policy,9/9/16,2,250,System Administration,35,840,9/9/16,3/25/14,934
File Watcher Utilities,11912,11912,662,/projects/fwutilities/?source=directory,4.8,File system/directory monitoring utilities with loggin and task processing support (can execute files or make a WCF service call). Multiple configuration options. Source code libraries can be used to create a custom file system monitor.,10/29/13,9,137,System Administration,1081,25944,10/29/13,2/14/06,3895
SBZ Switcher,11913,11913,663,/projects/sbzswitcher/?source=directory,4.9,Automate Speakers/Headphones mode switching,9/10/15,10,133,System Administration,400,9600,9/10/15,8/21/14,785
SharpEnviro,11914,11914,664,/projects/sharpe/?source=directory,4.9,SharpEnviro is a GPL (Copyleft) Windows Shell Replacement created in Delphi.,6/23/14,62,112,System Administration,844,20256,6/23/14,9/10/02,5148
idle3-tools,11915,11915,665,/projects/idle3-tools/?source=directory,4.5,This linux/unix utility can be used to remove or set the infamous idle3 timer found on recent Western Digital Hard Disk Drives. ,5/23/13,15,139,System Administration,1240,29760,5/23/13,6/16/10,2312
MADWIFI,11916,11916,666,/projects/madwifi/?source=directory,5,Multiband Atheros Driver for WiFi (MADWIFI): Linux driver for 802.11a/b/g Cardbus/PCI/MiniPCI cards using Atheros chipsets. *** Attention: homepage moved to http://madwifi-project.org - files from sf.net CVS deprecated! ***,10/5/13,45,110,System Administration,1105,26520,10/5/13,6/6/03,4879
Ping for life,11917,11917,667,/projects/pingforlife/?source=directory,4.6,Ping for life is a complete solution for network administrators and for people who must know the connection status through ICMP. It's the simpliest and most powerful ping graphical tool.,4/24/13,14,141,System Administration,1269,30456,4/24/13,5/12/10,2347
HotkeyP,11918,11918,668,/projects/hotkeyp/?source=directory,5,"Keyboard/mouse/WinLIRC/joystick shortcuts for exe files, documents, folders, www pages and commands: shutdown, hibernate, desktop resolution, volume, process priority, eject CD, wallpaper, always on top, hide active window, kill process, paste text, ",9/19/16,13,123,System Administration,25,600,9/19/16,12/19/05,3952
PassPort  port forwarding utility Win XP,11919,11919,669,/projects/pjs-passport/?source=directory,4.2,PassPort is a simple port forwarding utility. The program runs as an NT Service and can forward various ports from any of local interfaces to whatever remote IP address. It is easily manageable with a simple Windows GUI. ,4/23/13,11,150,System Administration,1270,30480,4/23/13,7/24/07,3370
dotNet Disk Imager,11920,11920,670,/projects/dotnetdiskimager/?source=directory,5,Lightweight RAW and ZIP disk images reader and writer to USB or SD,9/6/16,4,170,System Administration,38,912,9/6/16,4/22/16,175
Startup Manager,11921,11921,671,/projects/st-m/?source=directory,4.5,Startup Manager is a program that provides you the possibility to manage the Windows startup procedure. It offers you the possibility to control which programs automatically start up and more.,5/2/13,28,133,System Administration,1261,30264,5/2/13,4/22/05,4193
libusbK,11922,11922,672,/projects/libusbk/?source=directory,5,A complete software solution for windows usb devices,4/27/14,9,131,System Administration,901,21624,4/27/14,2/10/12,1708
Absolute Linux,11923,11923,673,/projects/absolute-linux/?source=directory,4.6,Lightweight Slackware modification. Desktop-centric applications built on up-to-date libraries and easy on hardware resources. Kinda Slackware without lots of work to start out...,9/22/16,9,161,System Administration,22,528,9/22/16,8/16/07,3347
gnome-schedule,11924,11924,674,/projects/gnome-schedule/?source=directory,5,Gnome-schedule is a graphical front end for the 'crontab' and 'at' tools. See the homepage for more information.,5/25/16,2,236,System Administration,142,3408,5/25/16,6/17/04,4502
AutoVPNConnect,11925,11925,675,/projects/autovpnconnect/?source=directory,3.6,VPN connection keep alive tool,9/30/16,5,228,System Administration,14,336,9/30/16,3/20/13,1304
wipfw,11926,11926,676,/projects/wipfw/?source=directory,4.6,wipfw - IPv4 packet filter and traffic shaper for Windows based on IPFW (FreeBSD firewall).,5/1/13,16,130,System Administration,1262,30288,5/1/13,7/3/04,4486
cdrdao,11927,11927,677,/projects/cdrdao/?source=directory,5,"CD recording in DAO mode, console and Gnome based application.",1/31/14,6,142,System Administration,987,23688,1/31/14,2/2/00,6099
anyremote,11928,11928,678,/projects/anyremote/?source=directory,5,Remote control software for applications using Bluetooth or Wi-Fi.,6/20/16,15,115,System Administration,116,2784,6/20/16,3/17/06,3864
Phoebetria,11929,11929,679,/projects/phoebetria/?source=directory,5,Software control for the BitFenix Recon fan controller.,8/22/14,14,116,System Administration,784,18816,8/22/14,8/1/12,1535
CacheGuard Web Gateway Appliance,11930,11930,680,/projects/webgateway/?source=directory,4.7,"Web Security Gateway (filtering proxy, waf, firewall...)",9/11/16,3,184,System Administration,33,792,9/11/16,7/5/13,1197
Cxbx : The Xbox Emulator,11931,11931,681,/projects/cxbx/?source=directory,5,Cxbx is an Xbox emulator for WinNT (XP/2k/2003) computers. Turok Evolution is currently the only playable retail game.,9/13/16,7,134,System Administration,31,744,9/13/16,10/25/02,5103
perfmon2,11932,11932,682,/projects/perfmon2/?source=directory,5,"The goal of the project is now to develop a user library called libpfm4 to help setup performance events for use with the perf_events Linux kernel interface. The development of the perfmon kernel subsystem, libpfm and pfmon has now stopped.",9/6/16,3,183,System Administration,38,912,9/6/16,7/28/05,4096
DMX Library for Arduino,11933,11933,683,/projects/dmxlibraryforar/?source=directory,4.8,DMX Library and usage examples for Arduino,3 days ago,5,147,System Administration,3,56,10/11/16,3/30/13,1294
Nagstamon Nagios status monitor,11934,11934,684,/projects/nagstamon/?source=directory,5,"Nagstamon is a Nagios status monitor which resides in systray or desktop (GNOME, KDE, Windows) as floating statusbar to inform you in realtime about the status of your hosts and services. It allows to connect to multiple Nagios based monitors. Currently supported are Nagios, Icinga, Opsview, Op5 Ninja, Check_MK Multisite, Centreon and Thruk.",7 days ago,33,103,System Administration,7,152,10/7/16,8/14/08,2983
Wireless Network Simulator in Matlab,11935,11935,685,/projects/wireless-matlab/?source=directory,4.8,A simple but complete mobile wireless network simulator based on Matlab.,4/15/13,8,126,System Administration,1278,30672,4/15/13,2/9/06,3900
FreeWifi Manager,11936,11936,686,/projects/freewifimanager/?source=directory,5,FreeWifi Manager allows you to authenticate (without manual input identifiers into the HTML form) on the network FreeWifi. It periodically checks the status of the network connection FreeWifi and can automatically perform reauthentication.,8/16/15,3,178,System Administration,425,10200,8/16/15,10/13/09,2558
Xtables-addons,11937,11937,687,/projects/xtables-addons/?source=directory,0,"Xtables-addons is a package that obsoletes the old patch-o-matic repository for the Linux kernel and iptables. Instead of patching the kernel source, extensions are built as modules and thus allow extending kernels without recompilation.",5/20/16,0,621,System Administration,147,3528,5/20/16,2/20/09,2793
Registry Editor PE,11938,11938,688,/projects/regeditpe/?source=directory,5,Registry Editor PE is a plugin for Bart's PE Builder which allows for easy editing of remote registry hives and user profiles.  A user booting from a Bart's PE CD can easily make changes to the Windows registry without having to boot into Windows.,4/23/13,2,219,System Administration,1270,30480,4/23/13,4/22/04,4558
SNMP Trap Translator,11939,11939,689,/projects/snmptt/?source=directory,5,SNMP Trap Translator is used to 'translate' traps received from the NET-SNMP / UCD-SNMP snmptrapd trap daemon into easy to understand messages.,3/29/15,4,156,System Administration,565,13560,3/29/15,4/16/02,5295
GlobalPlatform,11940,11940,690,/projects/globalplatform/?source=directory,5,Implementation of GlobalPlatform smart card specification,2/19/16,6,135,System Administration,238,5712,2/19/16,7/8/05,4116
io GNU/Linux,11941,11941,691,/projects/io-gnu-linux/?source=directory,5,A free powerful studio dedicated to multimedia enthusiasts ,7/16/16,3,176,System Administration,90,2160,7/16/16,3/13/10,2407
ddclient,11942,11942,692,/projects/ddclient/?source=directory,0,Ddclient is a Perl client used to update dynamic DNS entries for accounts on 'Dynamic DNS Network Services' free DNS service. It currently supports a lot of different routers and a few different services.,1/28/16,0,610,System Administration,260,6240,1/28/16,8/13/04,4445
Sudo for Windows,11943,11943,693,/projects/sudowin/?source=directory,4.9,"Sudo for Windows (sudowin) allows authorized users to launch processes with elevated privileges using their own passphrase. Unlike the runas command, Sudo for Windows preserves the user's profile and ownership of created objects.",4/24/13,11,114,System Administration,1269,30456,4/24/13,7/12/05,4112
thinkfan,11944,11944,694,/projects/thinkfan/?source=directory,5,fan control for control fans,5/22/16,11,114,System Administration,145,3480,5/22/16,1/7/09,2837
Window Maker Live,11945,11945,695,/projects/wmlive/?source=directory,5,The Window Maker Live Linux distribution,2/29/16,10,116,System Administration,228,5472,2/29/16,2/15/12,1703
GSport,11946,11946,696,/projects/gsport/?source=directory,4.4,Apple II GS emulator based on Kent Dickey's KEGS,1/26/16,5,140,System Administration,262,6288,1/26/16,4/9/10,2380
DAR - Disk ARchive,11947,11947,697,/projects/dar/?source=directory,4.6,"For full, incremental, compressed and encrypted backups or archives",10/2/16,10,139,System Administration,12,288,10/2/16,10/25/02,5103
Maarch Courrier (DMS),11948,11948,698,/projects/maarch/?source=directory,5,"Maarch Courrier is a PHP Document Management System dedicated to electronic mail processing. Maarch includes scan connectors, mailroom management, workflow.",10/1/16,8,121,System Administration,13,312,10/1/16,10/31/05,4001
udt,11949,11949,699,/projects/udt/?source=directory,4.8,UDT: UDP-based Data Transfer Protocol,2/23/13,16,118,System Administration,1329,31896,2/23/13,7/21/04,4468
Virtual Machines and Appliances,11950,11950,700,/projects/virtualappliances/?source=directory,0,Virtual Machines in OVA format for VirtualBox and other virtualization,9/2/16,0,594,System Administration,42,1008,9/2/16,11/10/13,1069
IPsec Tools,11951,11951,701,/projects/ipsec-tools/?source=directory,5,"User-space IPsec tools for various IPsec implementations.  A port of KAME's libipsec, setkey, and racoon to the Linux OS.  Also works on various BSD systems.",2/27/14,1,330,System Administration,960,23040,2/27/14,2/20/03,4985
FireStarter,11952,11952,702,/projects/firestarter/?source=directory,5,"The goal of FireStarter is to provide easy to use, yet powerful, graphical tools for setting up, administrating and monitoring firewalls for Linux machines.",6/3/13,3,169,System Administration,1229,29496,6/3/13,5/11/00,6000
Stuck Pixel Sweeper,11953,11953,703,/projects/stucksweep/?source=directory,5,Stuck pixels are those pixels on an LCD (TFT) screen which get stuck on a certain colour or display wrong colours because a subpixel is stuck as on or off. This program is intended to help in unsticking those pixels by rotating colours.,4/1/13,3,169,System Administration,1292,31008,4/1/13,9/23/05,4039
Austrum Latvijas Linukss,11954,11954,704,/projects/austrumi/?source=directory,5,AUSTRUMI is a business card size (50MB) bootable Live CD Linux distribution.,4/1/13,39,95,System Administration,1292,31008,4/1/13,2/24/04,4616
Grsync,11955,11955,705,/projects/grsync/?source=directory,5,"Grsync is used to synchronize folders, files and make backups. It is a rsync GUI (Graphical User Interface).",8/3/16,8,118,System Administration,72,1728,8/3/16,2/3/10,2445
KeePassSync,11956,11956,706,/projects/keepasssync/?source=directory,3.6,KeePassSync is a KeePass plugin that synchronizes your database using various online storage providers.  This allows two or more computers to easily keep their data in sync.,10/7/12,29,175,System Administration,1468,35232,10/7/12,4/11/08,3108
Summa,11957,11957,707,/projects/summa/?source=directory,3.7,Lucene/Solr based search engine and workflow system,5/19/16,3,346,System Administration,148,3552,5/19/16,6/12/09,2681
The WiFiDog captive portal suite,11958,11958,708,/projects/wifidog/?source=directory,5,The WiFi Guard Dog project is a complete and embeddable captive portal solution for wireless community groups or individuals who wish to open free HotSpots while preventing abuse of their connection. Go to dev.wifidog.org to download the latest version.,4/9/13,6,127,System Administration,1284,30816,4/9/13,2/19/04,4621
drcom-client,11959,11959,709,/projects/drcom-client/?source=directory,4.8,Drcom-Client is an open source ISP client for logging in to the 2133 Broadband Remote Access Server (also known as Dr.COM). It is released under the GNU General Public License. It is available for GNU/Linux and Windows now. ,5/10/13,6,127,System Administration,1253,30072,5/10/13,1/6/05,4299
DreamStudio,11960,11960,710,/projects/dreamstudio/?source=directory,4.636363636,"Dream Studio contains all the apps you need to create stunning graphics, captivating videos, inspiring music, and professional websites.",5/21/15,11,128,System Administration,512,12288,5/21/15,9/26/10,2210
OneCMDB,11961,11961,711,/projects/onecmdb/?source=directory,4.6,"OneCMDB is an open source CMDB, Configuration Management Database. It keeps track of assets, documents, etc. and relations. The CMDB Model can be changed on the fly and networks can be auto-discovered. Integrated with NAGIOS. ITIL compliant.",5/30/13,11,128,System Administration,1233,29592,5/30/13,9/1/06,3696
O2EM Odyssey2 / Videopac+ Emulator,11962,11962,712,/projects/o2em/?source=directory,5,O2EM is an open source multi-platform Odyssey2 / Videopac+ emulator. The Odyssey2 (Videopac/Jopac in Europe) was a video game console created in the late 70s.,4/15/13,4,145,System Administration,1278,30672,4/15/13,9/6/02,5152
ToastMount,11963,11963,713,/projects/toastmount/?source=directory,5,Mount ISO and other disk images on your desktop with drag-n-drop,4/8/13,4,145,System Administration,1285,30840,4/8/13,10/12/03,4751
MiXiM,11964,11964,714,/projects/mixim/?source=directory,4.8,MiXiM is a simulator for wireless and mobile networks using the OMNeT++ simulation engine.,3/8/13,5,133,System Administration,1316,31584,3/8/13,9/9/06,3688
qt4-fsarchiver,11965,11965,715,/projects/qt4-fsarchiver/?source=directory,4,"Program to save/restore partitions, folders and MBR/GPT. ",5 days ago,3,340,System Administration,5,104,10/9/16,8/5/10,2262
Linux Standard Base,11966,11966,716,/projects/lsb/?source=directory,5,"Linux Standard Base Project website, specification, and tests.",3/22/13,1,319,System Administration,1302,31248,3/22/13,1/4/00,6128
parchive,11967,11967,717,/projects/parchive/?source=directory,4.2,Providing a tool to apply the data-recovery capability concepts of RAID-like systems to the posting & recovery of multi-part archives on Usenet.,4/30/15,5,197,System Administration,533,12792,4/30/15,7/3/01,5582
WinNFSd,11968,11968,718,/projects/winnfsd/?source=directory,5,WinNFSd is a Network File System (NFS) server for Windows.  You can use any NFS client to mount a directory of Windows and read/write files via NFS protocol.  It is useful when you usually access files of Windows on Linux.,4/15/13,6,124,System Administration,1278,30672,4/15/13,3/30/05,4216
Multi File Renamer,11969,11969,719,/projects/multifilerename/?source=directory,5,"MultiFileRenamer is a tool to easily rename multiple files according to multiple rules. These rulesets can be used in different directories, can be stored for later usage and the results can be previewed. Written in C++ for Windows platforms.",5/8/13,4,143,System Administration,1255,30120,5/8/13,5/4/04,4546
moscrack,11970,11970,720,/projects/moscrack/?source=directory,4.3,"Moscrack is a perl application designed to facilitate cracking WPA keys on a cluster of computers. This is accomplished with any one of Mosix clustering software, ssh, rsh or Pyrit connectivity to nodes. Cluster nodes can run any Un*x variant (includ",9/6/16,6,171,System Administration,38,912,9/6/16,1/9/11,2105
PyCmd,11971,11971,721,/projects/pycmd/?source=directory,4.8,"PyCmd is a smart command prompt extension for Windows' cmd.exe; its purpose is to emulate a few power features of UNIX shells (decent Tab-completion, persistent history, etc.)",2 days ago,24,102,System Administration,2,32,10/12/16,5/7/09,2717
Linuxfx Operational System,11972,11972,722,/projects/linuxfxdevil/?source=directory,4,Linuxfx ctOS 7.4,5/1/16,4,237,System Administration,166,3984,5/1/16,2/24/12,1694
DaedalusX64,11973,11973,723,/projects/daedalusx64/?source=directory,5,DaedalusX64 is the continuation of the original Daedalus PSP port by StrmnNrmn. It is a GPL Open Source project. The official support and discussion forum is located at http://DaedalusX64.com,4/24/13,10,107,System Administration,1269,30456,4/24/13,10/26/08,2910
